runtime,director_popularity,actor1_popularity,actor2_popularity,actor3_popularity,actor4_popularity,actor5_popularity,cast_pop_mean,cast_pop_max,release_month,release_year,release_quarter,is_summer_release,is_holiday_release,star_count,cast_popularity_std,cast_gender_ratio,director_is_female,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,num_genres,keyword_count,lang_en,lang_fr,lang_es,lang_ja,lang_de,lang_other,is_english,has_budget,log_budget,has_overview,overview_length,popularity
121,3.7075,4.5056,4.7209,2.3847,2.5396,2.6019,3.35054,4.7209,10.0,2010.0,4.0,0,0,2,1.035662355403536,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1,0,0,0,0,0,1,1,17.50439003707821,1,395,14.4516
98,0.8595,2.4715,7.6535,1.8223,2.6099,4.2178,3.755,7.6535,3.0,2010.0,1.0,0,0,2,2.1026859794082426,0.2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0,0,0,1,1,18.92145603792546,1,353,8.73
102,1.1935,15.863,2.8631,3.7314,2.0009,3.4854,5.58876,15.863,6.0,2010.0,2.0,1,0,3,5.171767180606644,0.2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,1,1,19.11382792951231,1,247,8.4921
108,2.0571,7.3494,9.1964,3.2756,3.291,9.2848,6.479439999999999,9.2848,12.0,2010.0,4.0,0,1,5,2.699610607180228,0.8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,26,1,0,0,0,0,0,1,1,16.380459992348886,1,125,13.1865
131,4.8034,1.0316,1.4545,0.5438,1.0527,2.6124,1.339,2.6124,9.0,2010.0,3.0,0,0,0,0.6990984623069916,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,23,0,1,0,0,0,0,0,1,15.732433317205148,1,302,12.8338
96,0.9342,4.6728,10.9043,2.6561,4.2178,3.1754,5.12528,10.9043,10.0,2010.0,4.0,0,0,4,2.977388525134064,0.2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,21,1,0,0,0,0,0,1,1,18.683045016112164,1,228,11.5322
126,3.5462,2.2214,3.7689,4.4938,2.1759,2.2182,2.97564,4.4938,12.0,2010.0,4.0,0,1,2,0.9712104418713794,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,1,0,0,0,0,0,1,1,18.951309000896888,1,249,11.5954
103,10.5039,10.5039,27.8891,6.0061,4.3711,5.6896,10.89196,27.8891,8.0,2010.0,3.0,0,0,5,8.746555337868731,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,13,1,0,0,0,0,0,1,1,18.197537205138154,1,488,10.0387
118,1.2832,8.2672,5.8659,9.1964,3.185,2.5089,5.80468,9.1964,1.0,2010.0,1.0,0,0,4,2.6569307972922442,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,13,1,0,0,0,0,0,1,1,18.197537205138154,1,152,10.1943
93,1.4067,3.9581,5.4999,4.9592,5.6295,1.4461,4.29856,5.6295,5.0,2010.0,2.0,1,0,4,1.5429520635457215,0.2,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,1,1,18.92145603792546,1,343,7.3416
89,3.6064,2.0939,1.1664,2.736,2.4808,2.0684,2.1091,2.736,8.0,2010.0,3.0,0,0,0,0.5332420313516181,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,14,1,0,0,0,0,0,1,1,16.454567959008102,1,184,9.4324
88,4.3937,5.3807,7.5046,2.2937,0.8714,2.7685,3.76378,7.5046,6.0,2010.0,2.0,1,0,2,2.3717396192668367,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,1,1,17.72753358339242,1,195,9.2777
118,4.5431,7.1779,1.3403,12.1359,1.223,5.8441,5.54424,12.1359,2.0,2010.0,1.0,0,0,3,4.0633722259227,0.2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,1,1,18.36938746009113,1,257,9.2391
140,0.4676,4.5444,20.8778,3.9124,1.544,1.5507,6.48586,20.8778,6.0,2010.0,2.0,1,0,3,7.297913191481522,0.4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,1,1,17.50439003707821,1,590,9.1771
124,1.1523,5.6389,5.6421,2.2515,4.6112,6.5392,4.93658,6.5392,6.0,2010.0,2.0,1,0,4,1.4747833378500042,0.6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,10,1,0,0,0,0,0,1,1,18.035018277846262,1,484,8.9124
109,3.0153,16.4194,4.9592,2.4406,7.26,2.1692,6.649679999999999,16.4194,6.0,2010.0,2.0,1,0,3,5.224341058698217,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,1,0,0,0,0,0,1,1,18.57768450130904,1,284,8.7564
144,3.1789,4.9758,1.3224,3.8624,3.9709,0.6525,2.9568,4.9758,8.0,2010.0,3.0,0,0,3,1.667689000983097,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,20,0,0,0,0,0,1,0,1,15.607270193858982,1,289,8.7468
105,2.1104,3.8435,3.5336,14.6504,7.7475,3.488,6.6526,14.6504,9.0,2010.0,3.0,0,0,5,4.308073997043226,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,1,0,0,0,0,0,1,1,16.166885910365842,1,165,8.662
111,2.4735,5.0469,4.3087,11.415,5.5793,3.1878,5.90754,11.415,10.0,2010.0,4.0,0,0,5,2.8682340689699646,0.4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,1,0,0,0,0,0,1,1,17.87595358575207,1,371,8.6084
112,1.5438,8.2259,13.9576,3.2452,3.0723,3.2173,6.34366,13.9576,11.0,2010.0,4.0,0,1,5,4.279983346042365,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,5,1,0,0,0,0,0,1,1,17.216707972959764,1,386,8.5427
94,2.7553,2.8912,3.0518,1.6036,3.1853,1.1725,2.38088,3.1853,7.0,2010.0,3.0,1,0,2,0.827284486497843,0.6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,0,0,1,16.951004817371683,1,240,8.5277
110,2.7058,2.0201,0.3901,0.5663,5.0047,0.2391,1.64406,5.0047,10.0,2010.0,4.0,0,0,1,1.796841795595817,0.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,0,0,0.0,1,276,8.3406
110,2.8814,4.4938,4.5577,11.2039,8.8072,1.795,6.17152,11.2039,12.0,2010.0,4.0,0,1,4,3.3717871886582644,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1,0,0,0,0,0,1,1,17.453096744006448,1,220,8.2617
97,0.9572,3.5303,4.7047,2.7423,2.3751,2.8651,3.2435,4.7047,2.0,2010.0,1.0,0,0,2,0.8204713572087693,0.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,1,1,16.300417291085605,1,248,8.1424
104,0.8642,0.5058,2.0293,3.168,0.5683,1.7732,1.60892,3.168,10.0,2010.0,4.0,0,0,1,0.9933983519213226,0.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,1,0,1,15.068273812173887,1,220,8.0973
111,1.1429,4.131,4.1472,2.3868,3.7887,2.4737,3.38548,4.1472,3.0,2010.0,1.0,0,0,3,0.7908613415763853,0.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,17,1,0,0,0,0,0,1,1,17.281246492014,1,396,7.9967
123,1.2371,5.5924,4.3087,2.4196,2.3412,1.9197,3.3163199999999997,5.5924,8.0,2010.0,3.0,0,0,2,1.405053125543657,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,1,1,17.370858648025116,1,339,7.9927
118,3.1108,4.422,2.7929,4.5939,3.353,2.3238,3.49712,4.5939,11.0,2010.0,4.0,0,1,3,0.8890113146636548,0.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,27,1,0,0,0,0,0,1,1,16.52356082573315,1,478,7.8706
98,0.8408,6.1947,3.8032,5.8184,0.8696,2.2493,3.78704,6.1947,1.0,2010.0,1.0,0,0,3,2.0395887689433865,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,15,1,0,0,0,0,0,1,1,16.811242881518265,1,253,7.8688
90,1.5346,2.8624,3.4518,4.778,1.8043,3.9072,3.36074,4.778,5.0,2010.0,2.0,1,0,3,0.9986375310391652,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,16.118095750958314,1,183,7.8032
129,0.9064,8.6643,3.7348,1.5905,0.8629,1.3793,3.24636,8.6643,11.0,2010.0,4.0,0,1,2,2.8810176824171005,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,16.118095750958314,1,177,7.7997
107,1.9642,4.6728,8.6948,3.9951,5.2749,2.6102,5.04956,8.6948,8.0,2010.0,3.0,0,0,4,2.026961468405357,0.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0,0,0,1,1,18.420680753952364,1,291,7.7503
106,2.4538,5.6445,7.3494,2.8472,4.0484,1.4976,4.27742,7.3494,1.0,2010.0,1.0,0,0,3,2.0557892639081468,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,1,15.76142084987672,1,162,7.6442
140,3.7175,5.0628,5.5847,2.7838,2.4116,2.9368,3.75594,5.5847,5.0,2010.0,2.0,1,0,2,1.301963344491695,0.2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0,0,0,1,1,19.11382792951231,1,266,7.6277
124,0.3427,3.7733,6.646,6.9724,4.9563,0.8213,4.63386,6.9724,9.0,2010.0,3.0,0,0,4,2.2314847761972296,0.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,4,1,0,0,0,0,0,1,1,17.034386422832473,1,185,7.6029
91,5.4548,3.9035,4.2178,5.9789,2.5043,1.8718,3.69526,5.9789,6.0,2010.0,2.0,1,0,3,1.433514261666064,0.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,15.76142084987672,1,352,7.5799
100,1.322,10.9173,3.7887,3.9817,0.8555,1.3441,4.17746,10.9173,7.0,2010.0,3.0,1,0,3,3.596616372981694,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,23,1,0,0,0,0,0,1,1,18.5159909328476,1,527,7.5463
94,0.9508,1.8422,4.4007,2.6348,0.6748,0.9735,2.1052,4.4007,2.0,2010.0,1.0,0,0,1,1.3375914518267524,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,1,0,0,0,0,0,1,0,0.0,1,238,7.3818
110,0.2242,3.5932,0.6852,0.9641,1.4277,1.3116,1.59636,3.5932,1.0,2010.0,1.0,0,0,1,1.0321695298738478,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0.0,1,254,7.2893
104,0.7702,2.4715,6.1419,2.2798,1.4216,2.4306,2.94908,6.1419,3.0,2010.0,1.0,0,0,1,1.6414709615463807,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,26,1,0,0,0,0,0,1,1,16.811242881518265,1,238,7.2867
96,0.768,5.9629,0.7767,2.725,0.7416,1.3039,2.30202,5.9629,4.0,2010.0,2.0,0,0,1,1.9666575537189999,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,15,1,0,0,0,0,0,1,1,14.914123179965662,1,479,7.2584
89,2.5183,0.1634,0.633,2.1396,0.1709,3.45,1.3113800000000002,3.45,1.0,2010.0,1.0,0,0,1,1.29138654228701,0.25,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,3,1,0,0,0,0,0,1,1,13.815511557963774,1,146,7.2314
117,1.2306,8.7343,5.109,5.9645,1.1733,2.0952,4.61526,8.7343,6.0,2010.0,2.0,1,0,3,2.72868134204051,0.2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0,0,0,1,1,18.5159909328476,1,534,7.2007
85,2.5535,1.9255,3.0068,3.6002,3.1882,2.1814,2.7804200000000003,3.6002,7.0,2010.0,3.0,1,0,3,0.6291716535254906,0.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0.0,1,461,7.1675
93,1.2998,7.5046,2.5686,3.2978,1.6383,2.2313,3.4481200000000003,7.5046,9.0,2010.0,3.0,0,0,2,2.0979647693896104,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0,1,1,15.894952224644102,1,534,7.1296
97,0.5767,8.0979,4.3351,3.7593,4.0801,3.1739,4.68926,8.0979,5.0,2010.0,2.0,1,0,5,1.7479401243749737,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,14,1,0,0,0,0,0,1,1,16.52356082573315,1,221,6.9884
96,3.2181,4.0484,4.8289,3.2603,7.003,2.2468,4.27748,7.003,11.0,2010.0,4.0,0,1,4,1.6089324005687746,0.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,14,1,0,0,0,0,0,1,1,14.731801689838349,1,185,6.9716
82,0.8393,1.1897,2.2941,3.6707,3.3924,1.2514,2.35966,3.6707,8.0,2010.0,3.0,0,0,2,1.0379520732673546,0.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,1,1,16.811242881518265,1,261,6.9325
105,2.9427,7.7475,5.1441,7.2192,3.3824,1.5722,5.01308,7.7475,10.0,2010.0,4.0,0,0,4,2.317755675993481,0.4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,12,1,0,0,0,0,0,1,1,16.906553056777135,1,613,6.8516
108,3.0437,2.1197,1.8718,4.2033,1.7536,1.5873,2.3071399999999995,4.2033,6.0,2010.0,2.0,1,0,1,0.9638105178923914,0.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,8,1,0,0,0,0,0,1,1,14.508658238524095,1,209,6.7957
100,0.7298,3.3204,3.5125,2.9087,2.5079,2.5786,2.96562,3.5125,1.0,2010.0,1.0,0,0,2,0.39685729122695995,0.2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,1,1,17.073607134447293,1,226,6.7144
108,2.8909,0.1455,0.3837,2.3994,0.4458,0.1872,0.71232,2.3994,10.0,2010.0,4.0,0,0,0,0.8511520273135699,0.3333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,0,1,15.607270193858982,1,494,6.6853
98,4.7551,8.2672,3.544,3.6494,3.6259,1.6066,4.13862,8.2672,11.0,2010.0,4.0,0,1,4,2.2050890706726567,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,1,0,0,0,0,0,1,1,18.420680753952364,1,450,6.6285
89,0.7424,2.7129,0.9273,1.9244,4.3222,0.7674,2.13084,4.3222,9.0,2010.0,3.0,0,0,1,1.303145972790462,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0.0,1,422,6.6072
107,4.7998,1.0365,2.9066,0.7532,0.3798,0.3215,1.07952,2.9066,12.0,2010.0,4.0,0,1,0,0.9498167389554681,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,15.201805169084134,1,440,6.5862
91,1.5035,1.5035,0.1773,3.9525,1.5845,4.2617,2.2959,4.2617,1.0,2010.0,1.0,0,0,2,1.5640426388049657,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0.0,1,75,6.5708
125,1.7467,5.109,14.6504,3.7183,5.9645,2.947,6.4778400000000005,14.6504,2.0,2010.0,1.0,0,0,4,4.2192385562326296,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,11,1,0,0,0,0,0,1,1,17.76675429577647,1,128,6.5506
119,4.112,2.6942,0.3472,0.8139,0.6191,1.3094,1.1567599999999998,2.6942,9.0,2010.0,3.0,0,0,0,0.830546732219205,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0.0,1,617,6.4895
7,0.0,0.3549,2.2475,0.0363,0.1452,0.1136,0.5795,2.2475,8.0,2010.0,3.0,0,0,0,0.8406443600001133,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,7.313886831633462,1,128,6.4847
122,1.8435,4.4961,1.4491,0.8729,0.6466,0.8023,1.6534,4.4961,12.0,2010.0,4.0,0,1,1,1.4470576685122123,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,15,0,0,1,0,0,0,0,0,0.0,1,450,6.4766
103,0.5078,2.4521,0.3756,0.877,2.1361,2.2853,1.62522,2.4521,1.0,2010.0,1.0,0,0,0,0.8368772703329922,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,1,15.76142084987672,1,140,6.4457
94,1.9783,5.3959,5.768,1.9167,2.3935,3.7052,3.83586,5.768,11.0,2010.0,4.0,0,1,3,1.545803305210595,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,23,1,0,0,0,0,0,1,1,16.705882371415992,1,173,6.3621
19,0.5742,1.5819,1.0512,3.5258,2.5004,1.9254,2.11694,3.5258,4.0,2010.0,2.0,0,0,1,0.8474296657540377,0.4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0.0,1,113,6.294
98,2.0617,2.2436,1.627,2.1183,0.751,0.252,1.39838,2.2436,5.0,2010.0,2.0,1,0,0,0.7769474535642678,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,4,1,0,0,0,0,0,1,1,15.568719929126477,1,159,6.1801
133,2.9023,4.0532,4.471,8.8072,4.6039,2.1411,4.81528,8.8072,9.0,2010.0,3.0,0,0,4,2.1831463582636874,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,1,1,18.064005814299346,1,313,6.18
98,0.7424,8.1126,5.9925,1.718,2.8882,4.6018,4.6626199999999995,8.1126,11.0,2010.0,4.0,0,1,3,2.258052044041501,0.4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,6,1,0,0,0,0,0,1,1,16.993564429978885,1,144,6.1245
92,0.6972,1.8241,0.9905,4.1174,2.841,3.0362,2.56184,4.1174,3.0,2010.0,1.0,0,0,2,1.0710821006813622,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0,0,0,1,1,16.52356082573315,1,289,6.122
109,0.4996,2.2623,1.5377,0.5415,2.0472,0.2625,1.33024,2.2623,5.0,2010.0,2.0,1,0,0,0.7984969169633657,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0.0,1,178,6.1092
109,2.0322,7.2718,3.2781,2.9669,0.6601,0.4106,2.9175,7.2718,3.0,2010.0,1.0,0,0,2,2.4687164106069375,0.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,1,1,17.370858648025116,1,474,6.0419
119,2.6455,1.2636,1.9817,0.8244,1.632,3.0568,1.7517,3.0568,8.0,2010.0,3.0,0,0,1,0.7574484800961713,0.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,19,0,0,0,0,0,1,0,1,14.042646927360453,1,112,6.0181
101,0.9998,0.9028,0.7604,1.7547,4.9615,2.4432,2.16452,4.9615,1.0,2010.0,1.0,0,0,1,1.5252673488933015,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,1,0,0,0,0,0,0,0.0,1,242,5.9893
110,0.3751,0.5725,0.9616,0.3357,1.017,0.449,0.66716,1.017,11.0,2010.0,4.0,0,1,0,0.27404487661695115,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0,1,401,5.9641
92,0.7022,0.7362,1.5814,2.4458,1.6193,4.5555,2.18764,4.5555,3.0,2010.0,1.0,0,0,1,1.3015854126410606,0.2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5,5,1,0,0,0,0,0,1,1,17.216707972959764,1,354,5.9342
133,1.7894,5.0628,5.1254,3.2337,2.507,2.3803,3.66184,5.1254,11.0,2010.0,4.0,0,1,3,1.2053216045520796,0.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,8,1,0,0,0,0,0,1,1,17.216707972959764,1,350,5.8886
132,1.807,4.7506,3.4058,6.1947,4.1577,3.872,4.47616,6.1947,3.0,2010.0,1.0,0,0,5,0.9634099492946915,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,20,1,0,0,0,0,0,1,1,16.648723960844016,1,251,5.8781
60,1.7457,1.8879,1.1219,0.6,0.8053,0.1834,0.9197,1.8879,7.0,2010.0,3.0,1,0,0,0.5719666458806841,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,1,138,5.8779
108,0.6932,3.5349,0.9274,3.611,0.8585,2.9689,2.38014,3.611,8.0,2010.0,3.0,0,0,2,1.234582288225455,0.25,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,11,1,0,0,0,0,0,1,0,0.0,1,250,5.8726
107,3.0287,4.7435,0.4713,0.288,0.3898,3.0287,1.7842600000000002,4.7435,9.0,2010.0,3.0,0,0,2,1.8007170200783909,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,1,0,0.0,1,458,5.8707
133,5.417,5.8441,4.1406,5.3959,2.657,3.4761,4.30274,5.8441,8.0,2010.0,3.0,0,0,4,1.18227515003911,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,28,1,0,0,0,0,0,1,1,17.909855136853043,1,203,5.8537
